"";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"78";"ASTE006703";"scaffold_00043";1014978;1015871;"+";"AGAP010355";"3L";2088648;2111320;1
"79";"ASTE006704";"scaffold_00043";987073;987294;"-";"AGAP010354";"3L";2060107;2060900;-1
"80";"ASTE006707";"scaffold_00043";846959;847452;"+";"AGAP010351";"3L";1950397;1953971;-1
"81";"ASTE006711";"scaffold_00043";825220;825402;"+";"AGAP010347";"3L";1918545;1920511;1
"82";"ASTE006714";"scaffold_00043";793749;793824;"+";"AGAP010344";"3L";1896831;1899497;1
"83";"ASTE006719";"scaffold_00043";701360;701431;"-";"AGAP010339";"3L";1689490;1690978;-1
"84";"ASTE006721";"scaffold_00043";694953;695073;"-";"AGAP010336";"3L";1661447;1663508;-1
"85";"ASTE006725";"scaffold_00043";626391;626497;"-";"AGAP010331";"3L";1237241;1252839;1
"86";"ASTE006720";"scaffold_00043";698761;699054;"+";"AGAP010338";"3L";1687955;1688766;1
"87";"ASTE006655";"scaffold_00043";1549250;1550595;"-";"AGAP010399";"3L";2710149;2711749;-1
"89";"ASTE006662";"scaffold_00043";1455904;1456503;"-";"AGAP010394";"3L";2612105;2635382;-1
"90";"ASTE006663";"scaffold_00043";1444210;1445045;"+";"AGAP010393";"3L";2602194;2608966;1
"91";"ASTE006669";"scaffold_00043";1324235;1325106;"-";"AGAP010388";"3L";2456304;2461278;-1
"92";"ASTE006675";"scaffold_00043";1297011;1297062;"+";"AGAP010384";"3L";2421129;2422814;1
"93";"ASTE006667";"scaffold_00043";1340383;1340508;"-";"AGAP010390";"3L";2483237;2485667;-1
"94";"ASTE006668";"scaffold_00043";1331840;1331874;"-";"AGAP010389";"3L";2467694;2472921;-1
"95";"ASTE006680";"scaffold_00043";1261953;1262343;"-";"AGAP010379";"3L";2375097;2379546;-1
"96";"ASTE006686";"scaffold_00043";1237411;1237498;"-";"AGAP010373";"3L";2318591;2323312;-1
"97";"ASTE006678";"scaffold_00043";1271258;1271398;"+";"AGAP010381";"3L";2393423;2395773;1
"98";"ASTE006682";"scaffold_00043";1251495;1252267;"+";"AGAP010378";"3L";2366206;2369589;1
"99";"ASTE006695";"scaffold_00043";1168906;1169236;"+";"AGAP010363";"3L";2242730;2243715;1
"100";"ASTE006694";"scaffold_00043";1172763;1173169;"+";"AGAP010364";"3L";2246781;2247865;1
"101";"ASTE006696";"scaffold_00043";1162139;1162195;"-";"AGAP010361";"3L";2232300;2236086;-1
"103";"ASTE006689";"scaffold_00043";1209776;1210327;"-";"AGAP010370";"3L";2280874;2285568;1
"104";"ASTE006693";"scaffold_00043";1172763;1173169;"+";"AGAP010366";"3L";2252095;2257902;-1
"105";"ASTE006701";"scaffold_00043";1054013;1054559;"+";"AGAP010357";"3L";2138012;2140343;1
"106";"ASTE006710";"scaffold_00043";825220;825402;"+";"AGAP010349";"3L";1937808;1939847;-1
"108";"ASTE006705";"scaffold_00043";857525;857822;"+";"AGAP010353";"3L";1960079;1962374;1
"109";"ASTE006708";"scaffold_00043";846959;847452;"+";"AGAP010350";"3L";1948476;1950046;1
"110";"ASTE006712";"scaffold_00043";820706;820885;"+";"AGAP010346";"3L";1913738;1918285;1
"111";"ASTE006713";"scaffold_00043";816822;816948;"-";"AGAP010345";"3L";1905308;1909582;-1
"113";"ASTE006715";"scaffold_00043";793749;793824;"+";"AGAP010343";"3L";1877627;1889368;1
"114";"ASTE006727";"scaffold_00043";564869;564967;"+";"AGAP028612";"3L";1289504;1301424;1
"115";"ASTE006722";"scaffold_00043";673557;673707;"+";"AGAP010335";"3L";1628435;1648884;1
"116";"ASTE006723";"scaffold_00043";670182;670307;"+";"AGAP010334";"3L";1619302;1621133;1
"118";"ASTE006728";"scaffold_00043";564869;564967;"+";"AGAP027982";"3L";1333668;1386667;-1
"121";"ASTE016029";"scaffold_00043";406958;407146;"-";"AGAP027999";"3L";844301;845215;-1
"122";"ASTE016030";"scaffold_00043";406958;407146;"-";"AGAP028491";"3L";837955;843075;-1
"123";"ASTE016031";"scaffold_00043";406958;407146;"-";"AGAP010326";"3L";850534;859465;-1
