orth;seqname;start;end;strand
ASTE006418;scaffold_00006;602439;602693;-
ASTE006427;scaffold_00006;397542;397806;+
ASTE006430;scaffold_00006;363094;363171;+
ASTE006426;scaffold_00006;402330;403017;-
ASTE006432;scaffold_00006;339915;339966;+
ASTE006442;scaffold_00006;184204;184479;-
ASTE006436;scaffold_00006;223946;227071;-
ASTE006444;scaffold_00006;157701;160016;+
ASTE006437;scaffold_00006;218889;218990;+
ASTE006443;scaffold_00006;171843;174911;+
ASTE006452;scaffold_00006;62803;62958;-
ASTE006463;scaffold_00057;8900;8902;+
ASTE006453;scaffold_00006;50859;51188;+
ASTE006475;scaffold_00057;344709;345380;+
ASTE006473;scaffold_00057;338884;341309;+
ASTE006478;scaffold_00057;373656;373806;-
ASTE006479;scaffold_00057;376507;376624;-
ASTE006483;scaffold_00057;391719;391723;+
ASTE006476;scaffold_00057;344709;345380;+
ASTE006472;scaffold_00057;338262;338303;+
NA;NA;NA;NA;NA
ASTE006485;scaffold_00057;432332;433146;+
ASTE006488;scaffold_00057;468426;468617;+
ASTE006490;scaffold_00057;540666;540894;+
ASTE006491;scaffold_00057;541649;541741;+
NA;NA;NA;NA;NA
ASTE006304;scaffold_00006;2283855;2283921;+
ASTE006305;scaffold_00006;2282017;2282749;+
ASTE006309;scaffold_00006;2131221;2131277;+
ASTE006318;scaffold_00006;2073250;2073312;+
ASTE006321;scaffold_00006;1993367;1993407;-
ASTE006324;scaffold_00006;1949949;1950109;+
ASTE006334;scaffold_00006;1768990;1769586;-
ASTE014716;scaffold_00006;2025455;2025634;-
ASTE014715;scaffold_01684;2225;2589;-
ASTE014717;scaffold_00006;1941958;1942003;-
ASTE014720;scaffold_00006;1515248;1515261;+
ASTE014719;scaffold_00006;1524031;1524064;+
ASTE014718;scaffold_00006;1708873;1709269;-
ASTE014722;scaffold_00006;1143146;1143555;+
ASTE014721;scaffold_00006;1146960;1147282;+
ASTE014723;scaffold_00006;839502;839984;-
ASTE014731;scaffold_00006;150058;150192;-
ASTE014726;scaffold_00006;247700;248054;+
ASTE014724;scaffold_00006;259540;259647;+
ASTE014725;scaffold_00006;251254;252626;+
NA;NA;NA;NA;NA
ASTE014727;scaffold_00006;247700;248054;+
ASTE014730;scaffold_00006;164452;164523;+
ASTE014728;scaffold_00006;201314;201478;-
NA;NA;NA;NA;NA
ASTE014737;scaffold_00057;363013;363151;+
ASTE014735;scaffold_00057;359625;359788;+
ASTE014734;scaffold_00057;358413;359355;-
ASTE014733;scaffold_00057;337608;337938;-
ASTE014732;scaffold_00057;26735;26770;+
ASTE005855;scaffold_00005;1151650;1152366;+
ASTE005856;scaffold_00005;1190053;1191804;-
ASTE005858;scaffold_00005;1213511;1213516;-
ASTE005862;scaffold_00005;1243692;1243716;+
ASTE005893;scaffold_00005;1469438;1470829;+
ASTE005894;scaffold_00005;1473836;1473954;+
ASTE005895;scaffold_00005;1473836;1473954;+
ASTE005896;scaffold_00005;1480757;1481502;-
ASTE005815;scaffold_00005;443495;444704;+
ASTE005909;scaffold_00005;1686079;1686111;+
ASTE005905;scaffold_00005;1648290;1648382;+
ASTE005911;scaffold_00005;1698184;1698202;-
ASTE005915;scaffold_00005;1726924;1727226;+
ASTE005917;scaffold_00005;1732854;1732879;+
ASTE005918;scaffold_00005;1736040;1736059;-
ASTE005924;scaffold_00005;1799585;1799607;-
ASTE005922;scaffold_00005;1781602;1782627;+
ASTE005820;scaffold_00005;512498;512657;-
ASTE005932;scaffold_00005;1903208;1904158;-
ASTE005947;scaffold_00005;1985092;1985656;+
ASTE005948;scaffold_00005;2005634;2005670;+
ASTE005940;scaffold_00005;1959383;1959616;-
ASTE005941;scaffold_00005;1960324;1961271;+
ASTE005953;scaffold_00005;2041091;2042536;+
ASTE005824;scaffold_00005;525039;525422;+
ASTE005830;scaffold_00005;763021;763036;+
ASTE005841;scaffold_00005;1040623;1040931;+
ASTE005844;scaffold_00005;1083929;1084213;-
ASTE005849;scaffold_00005;1139375;1139409;-
NA;NA;NA;NA;NA
ASTE005811;scaffold_00005;395740;395799;+
ASTE005877;scaffold_00005;1364769;1366580;-
ASTE005880;scaffold_00005;1416331;1417540;+
ASTE005906;scaffold_00005;1648290;1648382;+
ASTE005912;scaffold_00005;1704261;1705269;+
ASTE005910;scaffold_00005;1694329;1694401;+
ASTE005907;scaffold_00005;1648290;1648382;+
ASTE005925;scaffold_00005;1800033;1801304;+
ASTE005921;scaffold_00005;1754483;1758730;-
ASTE005956;scaffold_00005;2050087;2051676;-
ASTE005829;scaffold_00005;751605;751618;+
NA;NA;NA;NA;NA
ASTE005863;scaffold_00005;1253266;1253278;-
ASTE005859;scaffold_00005;1224924;1225353;+
ASTE005857;scaffold_00005;1202143;1202266;+
ASTE005874;scaffold_00005;1341808;1341889;-
ASTE005869;scaffold_00005;1299474;1299945;-
ASTE005870;scaffold_00005;1315752;1315901;-
ASTE005866;scaffold_00005;1276244;1276338;+
ASTE005873;scaffold_00005;1334012;1334043;+
ASTE005885;scaffold_00005;1431024;1432408;-
ASTE005875;scaffold_00005;1346755;1346916;+
ASTE005879;scaffold_00005;1395571;1395668;-
ASTE005881;scaffold_00005;1420000;1421602;-
ASTE005883;scaffold_00005;1426721;1426804;-
ASTE005876;scaffold_00005;1362201;1362510;+
ASTE005882;scaffold_00005;1422665;1422744;+
ASTE005884;scaffold_00005;1427639;1427656;+
ASTE005886;scaffold_00005;1433022;1436414;+
ASTE005814;scaffold_00005;438374;438433;+
ASTE005816;scaffold_00005;494270;494399;+
ASTE005817;scaffold_00005;496193;496389;-
NA;NA;NA;NA;NA
ASTE005891;scaffold_00005;1462088;1462276;-
ASTE005892;scaffold_00005;1467237;1467321;-
ASTE005897;scaffold_00005;1515560;1515562;-
ASTE005903;scaffold_00005;1626964;1627155;+
ASTE005901;scaffold_00005;1621125;1623993;+
ASTE005902;scaffold_00005;1626220;1626363;-
ASTE005904;scaffold_00005;1630225;1630515;+
ASTE005908;scaffold_00005;1655437;1655492;+
ASTE005919;scaffold_00005;1736350;1736352;+
ASTE005913;scaffold_00005;1717552;1718032;-
ASTE005914;scaffold_00005;1723753;1723964;-
ASTE005916;scaffold_00005;1732574;1732592;-
ASTE005927;scaffold_00005;1806501;1806605;+
ASTE005928;scaffold_00005;1829341;1830152;-
ASTE005923;scaffold_00005;1788924;1788934;+
ASTE005934;scaffold_00005;1912791;1912857;-
ASTE005930;scaffold_00005;1885759;1886484;-
ASTE005929;scaffold_00005;1884661;1884752;+
ASTE005938;scaffold_00005;1937942;1938202;-
ASTE015910;scaffold_00038;670148;671673;+
ASTE005936;scaffold_00005;1920756;1921366;+
ASTE005957;scaffold_00005;2051984;2052880;+
ASTE005951;scaffold_00005;2024053;2024058;+
ASTE005955;scaffold_00005;2043309;2044161;-
ASTE005944;scaffold_00005;1976589;1976771;-
ASTE005939;scaffold_00005;1955438;1955966;+
ASTE005946;scaffold_00005;1983351;1983440;-
ASTE005950;scaffold_00005;2022972;2023069;-
ASTE005952;scaffold_00005;2039259;2039672;-
ASTE005949;scaffold_00005;2010358;2010468;+
ASTE005825;scaffold_01780;1593;1809;-
ASTE005821;scaffold_00005;516523;516670;-
ASTE005822;scaffold_00005;520321;520465;-
ASTE005823;scaffold_00005;522621;522774;-
ASTE005827;scaffold_00005;599037;599340;-
ASTE005831;scaffold_00005;777094;777775;+
ASTE005832;scaffold_00005;801245;801292;+
ASTE005833;scaffold_00005;815048;815438;-
ASTE005837;scaffold_00005;868958;868970;-
ASTE005834;scaffold_00005;852164;854538;+
ASTE005840;scaffold_00005;1024462;1024485;+
ASTE005842;scaffold_00005;1044544;1044573;+
ASTE005843;scaffold_00005;1083929;1084213;-
ASTE005852;scaffold_00005;1151650;1152366;+
ASTE005853;scaffold_00005;1151650;1152366;+
ASTE005845;scaffold_00005;1126681;1126816;-
ASTE005861;scaffold_00005;1226278;1226888;+
ASTE005865;scaffold_00005;1260659;1261150;-
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE005872;scaffold_00005;1331612;1331947;-
ASTE005868;scaffold_00005;1285123;1285269;-
ASTE005867;scaffold_00005;1280894;1281052;+
ASTE005871;scaffold_00005;1323227;1324234;+
ASTE005878;scaffold_00005;1367174;1367336;+
ASTE005818;scaffold_00005;497992;498178;+
ASTE005819;scaffold_00005;499390;499525;+
ASTE005887;scaffold_00005;1447671;1447904;+
ASTE005890;scaffold_00005;1457833;1457851;+
ASTE005899;scaffold_00005;1521659;1521927;+
ASTE005888;scaffold_00005;1456074;1456214;-
ASTE005889;scaffold_00005;1456905;1457267;-
ASTE005898;scaffold_00005;1520981;1521167;-
ASTE005813;scaffold_00005;418664;418954;+
ASTE005900;scaffold_00005;1600510;1600542;+
ASTE005920;scaffold_00005;1741235;1741833;-
ASTE005926;scaffold_00005;1806501;1806605;+
ASTE005937;scaffold_00005;1920756;1921366;+
ASTE005931;scaffold_00005;1895907;1896702;+
ASTE005935;scaffold_00005;1914543;1914615;+
ASTE005943;scaffold_00005;1971573;1971586;+
ASTE005942;scaffold_00005;1963466;1963541;+
ASTE005945;scaffold_00005;1977933;1978693;+
ASTE005954;scaffold_00005;2043309;2044161;-
ASTE005826;scaffold_00005;535397;535605;-
ASTE005828;scaffold_00005;601131;601211;+
ASTE005835;scaffold_00005;862614;862880;-
ASTE005836;scaffold_00005;863020;863094;+
ASTE005838;scaffold_00005;987907;988023;+
ASTE005839;scaffold_00005;1004044;1004069;+
ASTE005850;scaffold_00005;1140112;1140249;-
ASTE005847;scaffold_00005;1136289;1136770;-
ASTE005848;scaffold_00005;1139375;1139409;-
ASTE005851;scaffold_00005;1148644;1149363;-
ASTE005846;scaffold_00005;1126681;1126816;-
ASTE014662;scaffold_00005;518256;518403;-
ASTE014663;scaffold_00005;532538;533050;-
ASTE014664;scaffold_00005;718415;718739;+
ASTE014665;scaffold_00005;860327;860518;+
ASTE014667;scaffold_00005;948973;949331;+
ASTE014666;scaffold_00005;947834;948127;-
ASTE014668;scaffold_00005;1059119;1059188;-
ASTE014670;scaffold_00005;1151194;1151345;-
NA;NA;NA;NA;NA
ASTE014673;scaffold_00005;1226278;1226888;+
ASTE014671;scaffold_00005;1209791;1209802;-
ASTE014672;scaffold_00005;1210438;1210560;-
ASTE014675;scaffold_00005;1304386;1304487;-
ASTE014676;scaffold_00005;1335790;1335866;+
ASTE014674;scaffold_00005;1276244;1276338;+
ASTE014679;scaffold_00005;1771187;1771246;+
ASTE014680;scaffold_00005;1848153;1848312;-
ASTE014681;scaffold_00005;1864436;1864653;-
ASTE014677;scaffold_00005;1469438;1470829;+
ASTE014678;scaffold_00005;1482025;1482081;+
ASTE014682;scaffold_00005;1971573;1971586;+
ASTE014683;scaffold_00005;2003577;2003640;+
ASTE014684;scaffold_00005;2010358;2010468;+
ASTE009935;scaffold_00001;4684713;4685519;-
ASTE009936;scaffold_00001;4683133;4683342;-
ASTE009930;scaffold_00001;4724405;4724414;+
ASTE009931;scaffold_00001;4718618;4718638;+
ASTE009937;scaffold_00001;4666775;4666792;+
ASTE009943;scaffold_00001;4544900;4545312;+
ASTE009946;scaffold_00001;4467625;4468148;+
ASTE009945;scaffold_00001;4467625;4468148;+
ASTE009947;scaffold_00001;4462422;4462430;+
ASTE009949;scaffold_00001;4417761;4417811;+
ASTE009952;scaffold_00001;4391488;4391583;-
ASTE009962;scaffold_00001;4318347;4318352;+
ASTE009969;scaffold_00001;4215263;4215362;-
ASTE009955;scaffold_00001;4348691;4348914;+
ASTE009956;scaffold_00001;4351489;4351673;-
ASTE015866;scaffold_00001;1317056;1317266;+
ASTE015867;scaffold_00008;777936;777972;+
ASTE009957;scaffold_00001;4347658;4347793;-
ASTE009958;scaffold_00001;4345058;4345426;-
ASTE009968;scaffold_00001;4241833;4241964;+
ASTE009961;scaffold_00001;4318347;4318352;+
ASTE009963;scaffold_00001;4309397;4310638;+
ASTE009966;scaffold_00001;4255144;4255154;-
ASTE009967;scaffold_00001;4244821;4245473;-
ASTE009929;scaffold_00001;4814087;4814275;-
ASTE009932;scaffold_00001;4697218;4697384;+
NA;NA;NA;NA;NA
ASTE009939;scaffold_00001;4650462;4650745;-
NA;NA;NA;NA;NA
ASTE009950;scaffold_00001;4405949;4406104;+
ASTE009948;scaffold_00001;4443920;4444058;-
ASTE009960;scaffold_00001;4322486;4322752;-
ASTE009933;scaffold_00001;4696227;4696946;-
ASTE009942;scaffold_00001;4594583;4594619;+
ASTE009940;scaffold_00001;4625185;4625543;+
ASTE009941;scaffold_00001;4625185;4625543;+
ASTE009944;scaffold_00001;4537304;4538071;-
ASTE009953;scaffold_00001;4359104;4359328;+
ASTE009959;scaffold_00001;4337604;4337939;+
ASTE009965;scaffold_00001;4295625;4298591;+
ASTE009938;scaffold_00001;4650462;4650745;-
ASTE009954;scaffold_00001;4353976;4355625;-
ASTE015102;scaffold_00001;4807251;4807502;-
ASTE015103;scaffold_00001;4316826;4317140;-
ASTE004103;scaffold_00056;633591;633783;+
ASTE004107;scaffold_00056;671197;671367;-
ASTE004108;scaffold_00056;671750;672466;-
ASTE004113;scaffold_00056;727067;727735;+
NA;NA;NA;NA;NA
ASTE004115;scaffold_00056;794780;795370;+
ASTE004120;scaffold_00056;871161;872072;+
ASTE004127;scaffold_00056;990419;990567;-
ASTE004128;scaffold_00056;998828;998830;+
ASTE004126;scaffold_00056;970178;970202;-
ASTE004139;scaffold_00056;1141805;1143787;+
ASTE004131;scaffold_00056;1039396;1039416;-
ASTE004100;scaffold_00056;538481;538486;-
ASTE004106;scaffold_00056;650733;650791;+
ASTE004104;scaffold_00056;637324;637418;-
ASTE015874;scaffold_00125;264325;264830;+
ASTE004112;scaffold_00056;707387;707428;+
ASTE004109;scaffold_00056;676004;676203;-
ASTE004116;scaffold_00056;806581;806667;+
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE004122;scaffold_01721;2301;2458;-
NA;NA;NA;NA;NA
ASTE004119;scaffold_00056;869167;869298;+
ASTE004138;scaffold_00056;1137469;1139319;+
ASTE004134;scaffold_00056;1127846;1127913;-
ASTE004135;scaffold_00056;1132081;1132091;-
ASTE004133;scaffold_00056;1125505;1126164;+
ASTE004137;scaffold_00056;1137469;1139319;+
ASTE004129;scaffold_00056;1006812;1007906;-
ASTE004101;scaffold_00056;563689;563806;-
ASTE004102;scaffold_00056;628489;628750;+
ASTE004105;scaffold_00056;646024;646036;-
NA;NA;NA;NA;NA
ASTE004117;scaffold_00056;863799;864156;+
ASTE004125;scaffold_00056;948951;949482;-
ASTE004136;scaffold_00056;1135744;1136826;-
ASTE004130;scaffold_00056;1027145;1027342;-
NA;NA;NA;NA;NA
ASTE014457;scaffold_00056;661520;661661;-
ASTE014458;scaffold_00056;943428;943744;+
ASTE014460;scaffold_00056;1104707;1104845;+
ASTE014459;scaffold_00448;2704;2873;+
ASTE011019;scaffold_00032;807915;808866;+
ASTE011021;scaffold_00032;817698;818015;+
ASTE011023;scaffold_00032;821992;822702;+
ASTE011017;scaffold_00032;769657;769725;-
ASTE011020;scaffold_00032;814158;814267;-
ASTE011022;scaffold_00032;820655;820892;-
ASTE011024;scaffold_00032;825552;825783;-
ASTE011025;scaffold_00032;826554;827558;+
ASTE011027;scaffold_00032;837536;837689;+
ASTE011038;scaffold_00032;1014932;1014945;+
ASTE011037;scaffold_00032;1013557;1013829;-
ASTE011040;scaffold_00032;1061627;1061639;-
ASTE011049;scaffold_00032;1190704;1190834;+
ASTE011047;scaffold_00032;1173266;1173994;-
ASTE011042;scaffold_00032;1105826;1105862;+
ASTE011048;scaffold_00032;1183914;1184023;+
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE011035;scaffold_00032;975697;976808;+
NA;NA;NA;NA;NA
ASTE011039;scaffold_00032;1020356;1020587;+
ASTE011046;scaffold_00410;2155;2408;+
ASTE011050;scaffold_00032;1194607;1194734;+
NA;NA;NA;NA;NA
ASTE011044;scaffold_00032;1131384;1131481;+
ASTE011053;scaffold_00032;1318655;1318800;-
ASTE011018;scaffold_00032;777421;777533;-
ASTE011028;scaffold_00032;845813;846253;+
ASTE011031;scaffold_00032;871364;872038;+
ASTE011032;scaffold_00032;920641;920763;+
ASTE011033;scaffold_00032;975697;976808;+
ASTE011041;scaffold_00032;1083390;1085401;+
ASTE011051;scaffold_00032;1200684;1201523;-
ASTE011029;scaffold_00032;857916;858117;+
ASTE011026;scaffold_00032;832513;832690;-
ASTE011034;scaffold_00032;975697;976808;+
ASTE011045;scaffold_00032;1138704;1138853;-
ASTE011052;scaffold_00032;1318655;1318800;-
ASTE015221;scaffold_00032;750544;750781;+
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
ASTE015224;scaffold_00032;1014932;1014945;+
NA;NA;NA;NA;NA
ASTE015226;scaffold_00032;1202134;1202450;-
ASTE006039;scaffold_00016;1243716;1244538;-
ASTE006044;scaffold_00016;1424078;1425238;-
ASTE006055;scaffold_00016;1485090;1486523;+
ASTE006051;scaffold_00016;1462440;1462558;-
ASTE006053;scaffold_00016;1466908;1467346;+
ASTE006040;scaffold_00016;1262034;1262112;-
ASTE006038;scaffold_00016;1234377;1234487;-
ASTE006041;scaffold_00016;1305258;1305326;+
ASTE006042;scaffold_00016;1326661;1326808;-
ASTE006054;scaffold_00016;1476198;1476654;-
ASTE006047;scaffold_00016;1449065;1449169;-
ASTE006046;scaffold_00016;1441579;1442474;+
ASTE006048;scaffold_00016;1451061;1452659;+
ASTE006049;scaffold_00016;1456475;1458280;+
ASTE006052;scaffold_00016;1463983;1464075;+
ASTE006057;scaffold_00016;1752165;1752183;+
ASTE006058;scaffold_00016;1779482;1779785;+
ASTE006059;scaffold_00016;1779482;1779785;+
ASTE006043;scaffold_00016;1351957;1352017;-
ASTE006045;scaffold_00016;1440549;1440571;-
ASTE006050;scaffold_00016;1456475;1458280;+
ASTE006056;scaffold_00016;1504813;1504841;+
ASTE014690;scaffold_00016;1228416;1228501;-
ASTE014691;scaffold_00016;1275516;1275573;-
NA;NA;NA;NA;NA
ASTE014693;scaffold_00016;1305258;1305326;+
ASTE014695;scaffold_00016;1487648;1487767;+
ASTE014694;scaffold_00016;1477637;1477769;-
ASTE010149;scaffold_00003;5623558;5624430;+
ASTE010147;scaffold_00149;172253;172262;+
ASTE010148;scaffold_00149;196160;196319;+
ASTE010157;scaffold_00003;5428991;5429083;+
ASTE010153;scaffold_00003;5442490;5442703;-
ASTE010156;scaffold_00003;5432590;5432658;-
ASTE010158;scaffold_00003;5424654;5428102;-
ASTE010152;scaffold_00003;5472633;5473481;+
ASTE010162;scaffold_00003;5360249;5360369;-
ASTE010159;scaffold_00003;5393123;5393906;+
ASTE010161;scaffold_00003;5360869;5360965;+
ASTE010168;scaffold_00003;5173901;5174352;+
ASTE010164;scaffold_00003;5230725;5230818;-
ASTE010165;scaffold_00003;5178623;5178793;+
ASTE010151;scaffold_00003;5487659;5488323;-
ASTE010154;scaffold_00003;5436040;5436260;+
ASTE010160;scaffold_00003;5372499;5373457;-
ASTE010169;scaffold_00003;5173081;5173219;-
ASTE010172;scaffold_00003;5144125;5144752;+
ASTE010170;scaffold_00003;5166785;5166828;-
ASTE010166;scaffold_00003;5176040;5177671;-
ASTE010167;scaffold_00003;5176040;5177671;-
ASTE010150;scaffold_00003;5498218;5502966;-
ASTE010155;scaffold_00003;5433100;5433221;+
ASTE010163;scaffold_00003;5262545;5265880;+
ASTE010173;scaffold_00003;5132896;5133037;+
ASTE010171;scaffold_00003;5144125;5144752;+
ASTE015127;scaffold_00003;5485148;5485187;+
ASTE015128;scaffold_00003;5182528;5183059;+
ASTE008966;scaffold_00092;440667;441625;-
ASTE008974;scaffold_00092;544138;544152;+
ASTE008977;scaffold_00092;553465;553486;-
ASTE008970;scaffold_00092;528003;528104;+
ASTE008979;scaffold_00092;556939;557279;-
ASTE008972;scaffold_00092;538590;539244;+
