"ensembl_gene_id";"agambiae_eg_gene"
"ASTE004137";"AGAP004190"
"ASTE004129";"AGAP004184"
"ASTE004129";"AGAP004183"
"ASTE004102";"AGAP004156"
"ASTE004102";"AGAP012761"
"ASTE004105";"AGAP004160"
"ASTE004111";"AGAP004166"
"ASTE004117";"AGAP004170"
"ASTE004125";"AGAP004181"
"ASTE004136";"AGAP013462"
"ASTE004130";"AGAP004186"
"ASTE004132";"AGAP004188"
"ASTE011019";"AGAP011104"
"ASTE011021";"AGAP011106"
"ASTE011023";"AGAP028511"
"ASTE011017";"AGAP011101"
"ASTE011020";"AGAP011105"
"ASTE011022";"AGAP011107"
"ASTE011024";"AGAP011108"
"ASTE011025";"AGAP011109"
"ASTE011027";"AGAP011110"
"ASTE011038";"AGAP011115"
"ASTE011037";"AGAP011114"
"ASTE011040";"AGAP011117"
"ASTE011049";"AGAP011125"
"ASTE011047";"AGAP011123"
"ASTE011042";"AGAP011119"
"ASTE011048";"AGAP028744"
"ASTE011048";"AGAP028745"
"ASTE011035";"AGAP011113"
"ASTE011039";"AGAP011116"
"ASTE011046";"AGAP011122"
"ASTE011050";"AGAP011126"
"ASTE011043";"AGAP011120"
"ASTE011044";"AGAP011121"
"ASTE011018";"AGAP011103"
"ASTE011028";"AGAP011111"
"ASTE011041";"AGAP011118"
"ASTE011051";"AGAP011127"
"ASTE011026";"AGAP028409"
"ASTE006039";"AGAP013374"
"ASTE006044";"AGAP013349"
"ASTE006055";"AGAP004233"
"ASTE006051";"AGAP013213"
"ASTE006040";"AGAP004247"
"ASTE006038";"AGAP012988"
"ASTE006041";"AGAP004246"
"ASTE006042";"AGAP004245"
"ASTE006054";"AGAP004234"
"ASTE006047";"AGAP004239"
"ASTE006046";"AGAP004242"
"ASTE006048";"AGAP004238"
"ASTE006049";"AGAP004237"
"ASTE006052";"AGAP004235"
"ASTE006058";"AGAP004230"
"ASTE006043";"AGAP004244"
"ASTE006045";"AGAP012952"
"ASTE006045";"AGAP004243"
"ASTE006050";"AGAP004236"
"ASTE006056";"AGAP004232"
"ASTE010149";"AGAP003310"
"ASTE010147";"AGAP003308"
"ASTE010157";"AGAP003980"
"ASTE010153";"AGAP003984"
"ASTE010156";"AGAP003981"
"ASTE010158";"AGAP003979"
"ASTE010152";"AGAP003312"
"ASTE010162";"AGAP003974"
"ASTE010159";"AGAP003977"
"ASTE010161";"AGAP003975"
"ASTE010161";"AGAP012890"
"ASTE010168";"AGAP003968"
"ASTE010164";"AGAP003971"
"ASTE010165";"AGAP003970"
"ASTE010151";"AGAP003311"
"ASTE010154";"AGAP003983"
"ASTE010160";"AGAP003976"
"ASTE010169";"AGAP003967"
"ASTE010172";"AGAP003966"
"ASTE010170";"AGAP003967"
"ASTE010166";"AGAP013271"
"ASTE010167";"AGAP003969"
"ASTE010150";"AGAP012173"
"ASTE010155";"AGAP003982"
"ASTE010163";"AGAP003972"
"ASTE008966";"AGAP006380"
"ASTE008974";"AGAP006388"
"ASTE008977";"AGAP006392"
"ASTE008970";"AGAP006384"
"ASTE008979";"AGAP006394"
"ASTE008972";"AGAP006386"
"ASTE008980";"AGAP006396"
"ASTE008982";"AGAP006398"
"ASTE008975";"AGAP006389"
"ASTE008968";"AGAP006382"
"ASTE008983";"AGAP006399"
"ASTE008976";"AGAP006391"
"ASTE008984";"AGAP006400"
"ASTE008986";"AGAP006402"
"ASTE008987";"AGAP006402"
"ASTE008989";"AGAP006403"
"ASTE008990";"AGAP006405"
"ASTE008969";"AGAP006383"
"ASTE008971";"AGAP006385"
"ASTE008967";"AGAP006381"
"ASTE008973";"AGAP006387"
"ASTE008985";"AGAP006400"
"ASTE008978";"AGAP006393"
"ASTE008965";"AGAP006378"
"ASTE008816";"AGAP004049"
"ASTE008826";"AGAP004036"
"ASTE008830";"AGAP004034"
"ASTE008830";"AGAP012698"
"ASTE008815";"AGAP004050"
"ASTE008820";"AGAP013096"
"ASTE008827";"AGAP004035"
"ASTE008823";"AGAP004039"
"ASTE008831";"AGAP004033"
"ASTE008818";"AGAP004046"
"ASTE008825";"AGAP004038"
"ASTE008828";"AGAP013324"
"ASTE004288";"AGAP009046"
"ASTE004290";"AGAP009048"
"ASTE004295";"AGAP009052"
"ASTE004301";"AGAP009060"
"ASTE004280";"AGAP009037"
"ASTE004281";"AGAP009039"
"ASTE004284";"AGAP009042"
"ASTE004285";"AGAP009043"
"ASTE004286";"AGAP009044"
"ASTE004287";"AGAP009045"
"ASTE004289";"AGAP009047"
"ASTE004296";"AGAP009053"
"ASTE004292";"AGAP009050"
"ASTE004294";"AGAP009051"
"ASTE004298";"AGAP009056"
"ASTE004299";"AGAP009057"
"ASTE004300";"AGAP009059"
"ASTE004304";"AGAP009061"
"ASTE004282";"AGAP009041"
"ASTE004291";"AGAP027983"
"ASTE004303";"AGAP009061"
"ASTE006610";"AGAP001809"
"ASTE006616";"AGAP001803"
"ASTE006611";"AGAP001807"
"ASTE006592";"AGAP001826"
"ASTE006599";"AGAP001823"
"ASTE015879";"AGAP001172"
"ASTE006601";"AGAP001820"
"ASTE006603";"AGAP001816"
"ASTE006606";"AGAP001813"
"ASTE006609";"AGAP001810"
"ASTE006602";"AGAP001819"
"ASTE006604";"AGAP001817"
"ASTE006613";"AGAP001806"
"ASTE006615";"AGAP001804"
"ASTE006618";"AGAP001801"
"ASTE006620";"AGAP001800"
"ASTE006621";"AGAP001799"
"ASTE006614";"AGAP001805"
"ASTE006593";"AGAP001825"
"ASTE006595";"AGAP001824"
"ASTE006605";"AGAP001814"
"ASTE006607";"AGAP001811"
"ASTE006607";"AGAP001812"
"ASTE006608";"AGAP013085"
"ASTE006617";"AGAP001802"
"ASTE002152";"AGAP003931"
"ASTE002153";"AGAP003930"
"ASTE002161";"AGAP003923"
"ASTE002181";"AGAP003319"
"ASTE002149";"AGAP003933"
"ASTE002154";"AGAP003928"
"ASTE002164";"AGAP003920"
"ASTE002155";"AGAP003927"
"ASTE002156";"AGAP003926"
"ASTE002146";"AGAP003937"
"ASTE002148";"AGAP003934"
"ASTE002147";"AGAP003935"
"ASTE002159";"AGAP013479"
"ASTE002163";"AGAP003921"
"ASTE002165";"AGAP003919"
"ASTE002166";"AGAP003918"
"ASTE002173";"AGAP003325"
"ASTE002178";"AGAP003320"
"ASTE002170";"AGAP003914"
"ASTE002174";"AGAP003324"
"ASTE002176";"AGAP003322"
"ASTE002179";"AGAP013430"
"ASTE002160";"AGAP003924"
"ASTE002162";"AGAP003922"
"ASTE002157";"AGAP013418"
"ASTE002158";"AGAP003925"
"ASTE002167";"AGAP003917"
"ASTE002175";"AGAP003323"
"ASTE002177";"AGAP003321"
"ASTE002180";"AGAP003318"
"ASTE009486";"AGAP005567"
"ASTE009487";"AGAP005568"
"ASTE009564";"AGAP012873"
"ASTE009564";"AGAP005655"
"ASTE015883";"AGAP004171"
"ASTE015871";"AGAP006048"
"ASTE009567";"AGAP005661"
"ASTE009570";"AGAP005662"
"ASTE009572";"AGAP005665"
"ASTE009572";"AGAP005663"
"ASTE009572";"AGAP005664"
"ASTE009578";"AGAP005475"
"ASTE009578";"AGAP005474"
"ASTE009578";"AGAP005478"
"ASTE009578";"AGAP005477"
"ASTE009578";"AGAP005476"
"ASTE009575";"AGAP005671"
"ASTE009575";"AGAP005670"
"ASTE009577";"AGAP005673"
"ASTE009579";"AGAP005674"
"ASTE009587";"AGAP005684"
"ASTE009582";"AGAP005680"
"ASTE009586";"AGAP005683"
"ASTE009489";"AGAP005570"
"ASTE009500";"AGAP005586"
"ASTE009490";"AGAP005576"
"ASTE009494";"AGAP005581"
"ASTE009496";"AGAP005583"
"ASTE009590";"AGAP005693"
"ASTE009594";"AGAP005698"
"ASTE009594";"AGAP012903"
"ASTE009594";"AGAP005697"
"ASTE009593";"AGAP005696"
"ASTE009502";"AGAP005588"
"ASTE009506";"AGAP005595"
"ASTE009507";"AGAP005599"
"ASTE009524";"AGAP005615"
"ASTE009514";"AGAP005605"
"ASTE009525";"AGAP005616"
"ASTE009517";"AGAP005609"
"ASTE009518";"AGAP005610"
"ASTE009515";"AGAP005606"
"ASTE009532";"AGAP005623"
"ASTE009538";"AGAP005629"
"ASTE009527";"AGAP005618"
"ASTE009526";"AGAP005617"
"ASTE009534";"AGAP005625"
"ASTE009531";"AGAP005622"
"ASTE009536";"AGAP005627"
"ASTE009536";"AGAP012924"
"ASTE009541";"AGAP012896"
"ASTE009541";"AGAP005632"
"ASTE009547";"AGAP005638"
"ASTE009547";"AGAP005636"
"ASTE009547";"AGAP012569"
"ASTE009539";"AGAP005630"
"ASTE009540";"AGAP005631"
"ASTE009546";"AGAP005637"
"ASTE009548";"AGAP005639"
"ASTE009549";"AGAP005640"
"ASTE009551";"AGAP005642"
"ASTE009552";"AGAP005643"
"ASTE009562";"AGAP005653"
"ASTE009559";"AGAP005649"
"ASTE009561";"AGAP005652"
"ASTE009484";"AGAP005565"
"ASTE009485";"AGAP005566"
"ASTE009568";"AGAP005661"
"ASTE009584";"AGAP028447"
"ASTE009580";"AGAP005678"
"ASTE009583";"AGAP005681"
"ASTE009495";"AGAP005582"
"ASTE009498";"AGAP005584"
"ASTE009491";"AGAP005577"
"ASTE009501";"AGAP005587"
"ASTE009504";"AGAP005589"
"ASTE009519";"AGAP005611"
"ASTE009523";"AGAP005614"
"ASTE009516";"AGAP005608"
"ASTE009530";"AGAP005621"
"ASTE009537";"AGAP005628"
"ASTE009528";"AGAP005619"
"ASTE009529";"AGAP005620"
"ASTE009544";"AGAP005634"
"ASTE009545";"AGAP005635"
"ASTE009557";"AGAP005647"
"ASTE009563";"AGAP005654"
"ASTE009558";"AGAP005648"
"ASTE009488";"AGAP005569"
"ASTE009492";"AGAP005578"
"ASTE009573";"AGAP028731"
"ASTE009573";"AGAP028753"
"ASTE009573";"AGAP028752"
"ASTE009573";"AGAP005668"
"ASTE009573";"AGAP028732"
"ASTE009573";"AGAP005667"
"ASTE009573";"AGAP011649"
"ASTE009574";"AGAP005669"
"ASTE009499";"AGAP005585"
"ASTE009576";"AGAP005672"
"ASTE009576";"AGAP012831"
"ASTE009589";"AGAP005688"
"ASTE009589";"AGAP005686"
"ASTE009589";"AGAP005689"
"ASTE009589";"AGAP005690"
"ASTE009589";"AGAP012736"
"ASTE009589";"AGAP005687"
"ASTE009589";"AGAP005691"
"ASTE009585";"AGAP005682"
"ASTE009588";"AGAP005685"
"ASTE009505";"AGAP005596"
"ASTE009505";"AGAP005597"
"ASTE009505";"AGAP005598"
"ASTE009505";"AGAP005593"
"ASTE009505";"AGAP005594"
"ASTE009505";"AGAP005591"
"ASTE009505";"AGAP005592"
"ASTE009509";"AGAP005600"
"ASTE009510";"AGAP005601"
"ASTE009512";"AGAP005603"
"ASTE009512";"AGAP005602"
"ASTE009511";"AGAP005603"
"ASTE009511";"AGAP005602"
"ASTE009513";"AGAP005604"
"ASTE009533";"AGAP005624"
"ASTE009542";"AGAP005633"
"ASTE009543";"AGAP011697"
"ASTE009550";"AGAP005641"
"ASTE009560";"AGAP005650"
"ASTE009556";"AGAP005645"
"ASTE009493";"AGAP005580"
"ASTE009553";"AGAP005644"
"ASTE010095";"AGAP028189"
"ASTE010099";"AGAP009111"
"ASTE010105";"AGAP009104"
"ASTE010116";"AGAP009093"
"ASTE010117";"AGAP009091"
"ASTE010115";"AGAP009094"
"ASTE010118";"AGAP009090"
"ASTE010111";"AGAP009099"
"ASTE010110";"AGAP009100"
"ASTE010114";"AGAP009095"
"ASTE010137";"AGAP009070"
"ASTE010138";"AGAP009068"
"ASTE010139";"AGAP009067"
"ASTE010140";"AGAP009066"
"ASTE010131";"AGAP009076"
"ASTE010133";"AGAP009074"
"ASTE010132";"AGAP009075"
"ASTE010136";"AGAP009071"
"ASTE010120";"AGAP009087"
"ASTE010124";"AGAP009084"
"ASTE010125";"AGAP009083"
"ASTE010123";"AGAP009085"
"ASTE010128";"AGAP009080"
"ASTE010102";"AGAP009108"
"ASTE010104";"AGAP009105"
"ASTE010103";"AGAP009106"
"ASTE010113";"AGAP009096"
"ASTE010135";"AGAP009073"
"ASTE010100";"AGAP009110"
"ASTE010101";"AGAP009109"
"ASTE010127";"AGAP009081"
"ASTE010129";"AGAP009079"
"ASTE010130";"AGAP009078"
"ASTE010119";"AGAP009088"
"ASTE010126";"AGAP009082"
"ASTE010112";"AGAP009098"
"ASTE015124";"AGAP009089"
"ASTE003313";"AGAP009236"
"ASTE003316";"AGAP008411"
"ASTE003320";"AGAP008415"
"ASTE003322";"AGAP028199"
"ASTE003333";"AGAP008427"
"ASTE003334";"AGAP008428"
"ASTE003346";"AGAP008440"
"ASTE003347";"AGAP008441"
"ASTE003344";"AGAP008438"
"ASTE003344";"AGAP012637"
"ASTE003351";"AGAP028147"
"ASTE003343";"AGAP028554"
"ASTE003314";"AGAP009237"
"ASTE003310";"AGAP028114"
"ASTE003311";"AGAP009234"
"ASTE003315";"AGAP009239"
"ASTE003324";"AGAP008417"
"ASTE003319";"AGAP008414"
"ASTE003321";"AGAP008416"
"ASTE003323";"AGAP028190"
"ASTE003325";"AGAP008418"
"ASTE003328";"AGAP008422"
"ASTE003317";"AGAP008412"
"ASTE003335";"AGAP008429"
"ASTE003330";"AGAP008423"
"ASTE003331";"AGAP008424"
"ASTE003332";"AGAP008426"
"ASTE003340";"AGAP008436"
"ASTE003338";"AGAP008434"
"ASTE003357";"AGAP008449"
"ASTE003352";"AGAP008444"
"ASTE003359";"AGAP008458"
"ASTE003354";"AGAP008445"
"ASTE003356";"AGAP008448"
"ASTE003355";"AGAP008447"
"ASTE003360";"AGAP008459"
"ASTE003348";"AGAP008442"
"ASTE003349";"AGAP008443"
"ASTE003312";"AGAP009232"
"ASTE003327";"AGAP008420"
"ASTE003336";"AGAP008431"
"ASTE003337";"AGAP008433"
"ASTE003329";"AGAP028093"
"ASTE003339";"AGAP008435"
"ASTE003341";"AGAP027980"
"ASTE003358";"AGAP008450"
"ASTE003342";"AGAP027984"
"ASTE003326";"AGAP008419"
"ASTE003318";"AGAP008413"
"ASTE003345";"AGAP008439"
"ASTE007493";"AGAP007130"
"ASTE007498";"AGAP007126"
"ASTE007518";"AGAP007107"
"ASTE007522";"AGAP007103"
