"";"ensembl_gene_id";"chromosome_name";"start_position";"end_position";"strand"
"171";"ASTE006427";"KB664288";2354265;2358272;-1
"172";"ASTE006430";"KB664288";2388231;2391842;-1
"173";"ASTE006426";"KB664288";2351347;2353731;1
"174";"ASTE006432";"KB664288";2411175;2413788;-1
"175";"ASTE006442";"KB664288";2566657;2574076;1
"176";"ASTE006436";"KB664288";2525050;2532295;1
"177";"ASTE006444";"KB664288";2587931;2593648;-1
"178";"ASTE006437";"KB664288";2532358;2534000;-1
"179";"ASTE006443";"KB664288";2573471;2579527;-1
"180";"ASTE006452";"KB664288";2704163;2709846;1
"181";"ASTE006463";"KB664288";2779160;2785606;1
"182";"ASTE006453";"KB664288";2715122;2717025;-1
"183";"ASTE006475";"KB664288";3120016;3121454;-1
"184";"ASTE006473";"KB664288";3116255;3116679;-1
"185";"ASTE006478";"KB664288";3139888;3148521;-1
"186";"ASTE006479";"KB664288";3149417;3151350;-1
"187";"ASTE006483";"KB664288";3166938;3167630;-1
"188";"ASTE006476";"KB664288";3121864;3128564;1
"189";"ASTE006472";"KB664288";3112500;3117929;1
"190";"ASTE006299";"KB664288";364262;387690;-1
"191";"ASTE006485";"KB664288";3213894;3224026;1
"192";"ASTE006488";"KB664288";3240147;3243696;1
"193";"ASTE006490";"KB664288";3312383;3312846;1
"194";"ASTE006491";"KB664288";3313083;3317070;1
"195";"ASTE006492";"KB664288";3324479;3330931;1
"196";"ASTE006304";"KB664288";457016;457372;-1
"197";"ASTE006305";"KB664288";457941;459189;-1
"198";"ASTE006309";"KB664288";610259;615960;-1
"199";"ASTE006318";"KB664288";660442;666285;-1
"200";"ASTE006321";"KB664288";745901;746715;1
"201";"ASTE006324";"KB664288";785262;789359;-1
"202";"ASTE006334";"KB664288";980791;984506;1
"203";"ASTE014716";"KB664288";713832;715556;1
"204";"ASTE014715";"KB664288";604377;604988;1
"205";"ASTE014717";"KB664288";797305;799037;1
"206";"ASTE014720";"KB664288";1225521;1229387;-1
"207";"ASTE014719";"KB664288";1220899;1222310;-1
"208";"ASTE014718";"KB664288";1041164;1045463;1
"209";"ASTE014722";"KB664288";1604959;1605260;1
"210";"ASTE014721";"KB664288";1598862;1603363;-1
"211";"ASTE014723";"KB664288";1908009;1911981;1
"212";"ASTE014731";"KB664288";2601045;2602698;1
"213";"ASTE014726";"KB664288";2501681;2503821;1
"214";"ASTE014724";"KB664288";2492331;2493293;-1
"215";"ASTE014725";"KB664288";2494841;2501513;-1
"216";"ASTE014729";"KB664288";2565094;2566244;-1
"217";"ASTE014727";"KB664288";2503646;2505112;-1
"218";"ASTE014730";"KB664288";2583740;2586998;-1
"219";"ASTE014728";"KB664288";2551366;2554578;-1
"220";"ASTE014736";"KB664288";3134728;3135213;1
"221";"ASTE014737";"KB664288";3136554;3138045;1
"222";"ASTE014735";"KB664288";3133563;3134051;1
"223";"ASTE014734";"KB664288";3131608;3133293;-1
"224";"ASTE014733";"KB664288";3110290;3112176;-1
"225";"ASTE014732";"KB664288";2797120;2798115;-1
"226";"ASTE005855";"KB664289";1005036;1006544;1
"227";"ASTE005856";"KB664289";1012716;1014467;-1
"228";"ASTE005858";"KB664289";1034987;1035826;-1
"229";"ASTE005862";"KB664289";1067187;1068358;1
"230";"ASTE005893";"KB664289";1318281;1319672;1
"231";"ASTE005894";"KB664289";1322311;1324417;1
"232";"ASTE005895";"KB664289";1324948;1326200;1
"233";"ASTE005896";"KB664289";1326341;1330343;-1
"234";"ASTE005815";"KB664289";114712;124277;1
"235";"ASTE005909";"KB664289";1540525;1542714;1
"236";"ASTE005905";"KB664289";1498511;1499224;1
"237";"ASTE005911";"KB664289";1549481;1550899;-1
"238";"ASTE005915";"KB664289";1579368;1580657;1
"239";"ASTE005917";"KB664289";1585229;1586757;1
"240";"ASTE005918";"KB664289";1586855;1588494;-1
"241";"ASTE005924";"KB664289";1650523;1651806;-1
"242";"ASTE005922";"KB664289";1633780;1634805;1
"243";"ASTE005820";"KB664289";191000;193763;-1
"244";"ASTE005932";"KB664289";1752825;1753778;-1
"245";"ASTE005947";"KB664289";1834514;1835170;1
"246";"ASTE005948";"KB664289";1855772;1856305;1
"247";"ASTE005940";"KB664289";1808835;1809068;-1
"248";"ASTE005941";"KB664289";1809778;1810725;1
"249";"ASTE005953";"KB664289";1889910;1891355;1
"250";"ASTE005824";"KB664289";205943;206326;1
"251";"ASTE005830";"KB664289";467633;469324;1
"252";"ASTE005841";"KB664289";844540;845411;1
"253";"ASTE005844";"KB664289";887289;887935;-1
"254";"ASTE005849";"KB664289";943345;944028;-1
"255";"ASTE005810";"KB664289";36985;38546;1
"256";"ASTE005811";"KB664289";67812;76982;1
"257";"ASTE005877";"KB664289";1209933;1212709;-1
"258";"ASTE005880";"KB664289";1262234;1265677;1
"259";"ASTE005906";"KB664289";1500547;1503681;-1
"260";"ASTE005912";"KB664289";1556454;1560923;1
"261";"ASTE005910";"KB664289";1545730;1549374;1
"262";"ASTE005907";"KB664289";1504333;1505464;1
"263";"ASTE005925";"KB664289";1652232;1657340;1
"264";"ASTE005921";"KB664289";1606889;1611142;-1
"265";"ASTE005956";"KB664289";1898952;1900541;-1
"266";"ASTE005829";"KB664289";455140;457958;1
"267";"ASTE005854";"KB664289";994683;997499;1
"268";"ASTE005863";"KB664289";1071448;1075410;-1
"269";"ASTE005859";"KB664289";1047173;1048063;1
"270";"ASTE005857";"KB664289";1024494;1028994;1
"271";"ASTE005874";"KB664289";1184603;1191979;-1
"272";"ASTE005869";"KB664289";1121384;1123418;-1
"273";"ASTE005870";"KB664289";1152555;1155158;-1
"274";"ASTE005866";"KB664289";1098639;1101025;1
"275";"ASTE005873";"KB664289";1179493;1183248;1
"276";"ASTE005885";"KB664289";1276986;1278556;-1
"277";"ASTE005875";"KB664289";1192273;1198082;1
"278";"ASTE005879";"KB664289";1240363;1260416;-1
"279";"ASTE005881";"KB664289";1265482;1267736;-1
"280";"ASTE005883";"KB664289";1272243;1272952;-1
"281";"ASTE005876";"KB664289";1202010;1209771;1
"282";"ASTE005882";"KB664289";1268593;1270182;1
"283";"ASTE005884";"KB664289";1273585;1276476;1
"284";"ASTE005886";"KB664289";1281613;1286421;1
"285";"ASTE005814";"KB664289";111460;114461;1
"286";"ASTE005816";"KB664289";174984;176354;1
"287";"ASTE005817";"KB664289";176498;177290;-1
"288";"ASTE005812";"KB664289";82824;93370;1
"289";"ASTE005891";"KB664289";1309332;1314417;-1
"290";"ASTE005892";"KB664289";1315405;1316164;-1
"291";"ASTE005897";"KB664289";1363092;1363771;-1
"292";"ASTE005903";"KB664289";1475051;1476919;1
"293";"ASTE005901";"KB664289";1469271;1473710;1
"294";"ASTE005902";"KB664289";1473716;1474623;-1
"295";"ASTE005904";"KB664289";1487692;1492412;1
"296";"ASTE005908";"KB664289";1505673;1510187;1
"297";"ASTE005919";"KB664289";1588719;1592315;1
"298";"ASTE005913";"KB664289";1567476;1570526;-1
"299";"ASTE005914";"KB664289";1572468;1576431;-1
"300";"ASTE005916";"KB664289";1581177;1584974;-1
"301";"ASTE005927";"KB664289";1663014;1664414;-1
"302";"ASTE005928";"KB664289";1667739;1682260;-1
"303";"ASTE005923";"KB664289";1641403;1647432;1
"304";"ASTE005934";"KB664289";1760794;1762456;-1
"305";"ASTE005930";"KB664289";1736343;1738417;-1
"306";"ASTE005929";"KB664289";1734883;1736406;1
"307";"ASTE005938";"KB664289";1779085;1787653;-1
"308";"ASTE015910";"KB664677";1061284;1062813;-1
"309";"ASTE005936";"KB664289";1770293;1777939;1
"310";"ASTE005957";"KB664289";1900720;1903430;1
"311";"ASTE005951";"KB664289";1872378;1882611;1
"312";"ASTE005955";"KB664289";1893020;1898913;1
"313";"ASTE005944";"KB664289";1824788;1826208;-1
"314";"ASTE005939";"KB664289";1804650;1808554;1
"315";"ASTE005946";"KB664289";1829801;1832873;-1
"316";"ASTE005950";"KB664289";1868148;1871852;-1
"317";"ASTE005952";"KB664289";1882809;1888468;-1
"318";"ASTE005949";"KB664289";1865660;1866323;1
"319";"ASTE005825";"KB664289";210107;210932;1
"320";"ASTE005821";"KB664289";196780;197499;-1
"321";"ASTE005822";"KB664289";200696;201427;-1
"322";"ASTE005823";"KB664289";202927;205606;-1
"323";"ASTE005827";"KB664289";298577;299424;-1
"324";"ASTE005831";"KB664289";478491;487273;1
"325";"ASTE005832";"KB664289";535707;543360;1
"326";"ASTE005833";"KB664289";545380;549291;-1
"327";"ASTE005837";"KB664289";621893;627030;-1
"328";"ASTE005834";"KB664289";595144;601469;1
"329";"ASTE005840";"KB664289";829057;829667;1
"330";"ASTE005842";"KB664289";848741;852364;1
"331";"ASTE005843";"KB664289";868217;872120;-1
"332";"ASTE005852";"KB664289";957589;964219;1
"333";"ASTE005853";"KB664289";974944;976693;1
"334";"ASTE005845";"KB664289";929266;937748;1
"335";"ASTE005861";"KB664289";1058526;1059130;-1
"336";"ASTE005865";"KB664289";1083503;1085965;-1
"337";"ASTE005864";"KB664289";1076697;1082279;1
"338";"ASTE005860";"KB664289";1048359;1051428;1
"339";"ASTE005872";"KB664289";1172477;1177946;-1
"340";"ASTE005868";"KB664289";1106597;1109180;-1
"341";"ASTE005867";"KB664289";1103087;1106051;1
"342";"ASTE005871";"KB664289";1168471;1171435;1
"343";"ASTE005878";"KB664289";1213087;1217242;1
"344";"ASTE005818";"KB664289";178975;179947;1
"345";"ASTE005819";"KB664289";180371;184890;1
"346";"ASTE005887";"KB664289";1295273;1302216;1
"347";"ASTE005890";"KB664289";1306575;1309260;1
"348";"ASTE005899";"KB664289";1369871;1370498;1
"349";"ASTE005888";"KB664289";1303733;1305021;-1
"350";"ASTE005889";"KB664289";1305396;1306076;-1
"351";"ASTE005898";"KB664289";1368845;1369379;-1
"352";"ASTE005813";"KB664289";95717;97674;-1
"353";"ASTE005900";"KB664289";1458126;1466141;1
"354";"ASTE005920";"KB664289";1592378;1594259;-1
"355";"ASTE005926";"KB664289";1658204;1665560;1
"356";"ASTE005937";"KB664289";1774087;1774686;-1
"357";"ASTE005931";"KB664289";1745595;1749236;1
"358";"ASTE005935";"KB664289";1764001;1766940;1
"359";"ASTE005943";"KB664289";1820978;1822938;1
"360";"ASTE005942";"KB664289";1811033;1820801;1
"361";"ASTE005945";"KB664289";1827370;1829476;1
"362";"ASTE005954";"KB664289";1891487;1892979;-1
"363";"ASTE005826";"KB664289";229637;230039;-1
"364";"ASTE005828";"KB664289";301216;302105;1
"365";"ASTE005835";"KB664289";616995;618885;-1
"366";"ASTE005836";"KB664289";618983;621265;1
"367";"ASTE005838";"KB664289";783832;787450;1
"368";"ASTE005839";"KB664289";800514;807833;1
"369";"ASTE005850";"KB664289";944053;945888;-1
"370";"ASTE005847";"KB664289";938991;941779;-1
"371";"ASTE005848";"KB664289";941824;943338;-1
"372";"ASTE005851";"KB664289";954359;955407;-1
"373";"ASTE005846";"KB664289";930144;933073;-1
"374";"ASTE014662";"KB664289";198692;199237;-1
"375";"ASTE014663";"KB664289";224328;228387;-1
"376";"ASTE014664";"KB664289";420682;424766;1
"377";"ASTE014665";"KB664289";616128;616886;1
"378";"ASTE014667";"KB664289";744316;745049;1
"379";"ASTE014666";"KB664289";743076;743470;-1
"380";"ASTE014668";"KB664289";862186;862589;-1
"381";"ASTE014670";"KB664289";956967;957391;-1
"382";"ASTE014669";"KB664289";924966;928418;-1
"383";"ASTE014673";"KB664289";1056182;1056565;1
"384";"ASTE014671";"KB664289";1031425;1032442;-1
"385";"ASTE014672";"KB664289";1032694;1033517;-1
"386";"ASTE014675";"KB664289";1124927;1127588;-1
"387";"ASTE014676";"KB664289";1182582;1183952;-1
"388";"ASTE014674";"KB664289";1098552;1098980;-1
"389";"ASTE014679";"KB664289";1623485;1623953;1
"390";"ASTE014680";"KB664289";1698344;1701284;-1
"391";"ASTE014681";"KB664289";1716550;1717631;-1
"392";"ASTE014677";"KB664289";1317112;1318240;1
"393";"ASTE014678";"KB664289";1330866;1331288;1
"394";"ASTE014682";"KB664289";1823750;1824717;1
"395";"ASTE014683";"KB664289";1853085;1853365;1
"396";"ASTE014684";"KB664289";1856796;1860408;-1
"397";"ASTE009935";"KB664290";161259;163064;1
"398";"ASTE009936";"KB664290";163461;164845;1
"399";"ASTE009930";"KB664290";121347;122037;-1
"400";"ASTE009931";"KB664290";125595;127616;-1
"401";"ASTE009937";"KB664290";166709;171522;-1
"402";"ASTE009943";"KB664290";299680;302583;-1
"403";"ASTE009946";"KB664290";371637;379856;-1
"404";"ASTE009945";"KB664290";364139;371753;1
"405";"ASTE009947";"KB664290";381888;385061;-1
"406";"ASTE009949";"KB664290";428041;429622;-1
"407";"ASTE009952";"KB664290";456708;458976;1
"408";"ASTE009962";"KB664290";528907;529887;-1
"409";"ASTE009969";"KB664290";632652;633867;1
"410";"ASTE009955";"KB664290";495573;499668;-1
"411";"ASTE009956";"KB664290";496567;498028;1
"412";"ASTE015866";"KB664532";253873;267100;-1
"413";"ASTE015867";"KB664655";1023548;1038562;-1
"414";"ASTE009957";"KB664290";500413;501867;1
"415";"ASTE009958";"KB664290";502380;508546;1
"416";"ASTE009968";"KB664290";605795;606207;-1
"417";"ASTE009961";"KB664290";527478;528915;1
"418";"ASTE009963";"KB664290";530449;537375;1
"419";"ASTE009966";"KB664290";590697;600848;1
"420";"ASTE009967";"KB664290";602002;605646;1
"421";"ASTE009929";"KB664290";31408;35687;1
"422";"ASTE009932";"KB664290";147073;149241;-1
"423";"ASTE015901";"KB664655";631536;637230;1
"424";"ASTE009939";"KB664290";202654;206541;1
"425";"ASTE009951";"KB664290";445608;456452;-1
"426";"ASTE009950";"KB664290";430178;440496;-1
"427";"ASTE009948";"KB664290";403222;418531;1
"428";"ASTE009960";"KB664290";525481;526383;1
"429";"ASTE009933";"KB664290";149513;150232;1
"430";"ASTE009942";"KB664290";248921;252534;-1
"431";"ASTE009940";"KB664290";216206;217546;-1
"432";"ASTE009941";"KB664290";221429;221929;-1
"433";"ASTE009944";"KB664290";309406;310173;1
"434";"ASTE009953";"KB664290";489034;489258;-1
"435";"ASTE009959";"KB664290";510396;510731;-1
"436";"ASTE009965";"KB664290";549659;552625;-1
"437";"ASTE009938";"KB664290";196332;198530;1
"438";"ASTE009954";"KB664290";492722;495268;1
"439";"ASTE015102";"KB664290";37374;53999;1
"440";"ASTE015103";"KB664290";535037;535465;-1
"441";"ASTE004103";"KB664301";153668;154382;1
"442";"ASTE004107";"KB664301";189614;191231;-1
"443";"ASTE004108";"KB664301";191613;192329;-1
"444";"ASTE004113";"KB664301";259063;259731;1
"445";"ASTE004114";"KB664301";357318;358267;1
"446";"ASTE004115";"KB664301";366982;368000;1
"447";"ASTE004120";"KB664301";444814;445725;1
"448";"ASTE004127";"KB664301";574277;575311;-1
"449";"ASTE004128";"KB664301";584649;589286;1
"450";"ASTE004126";"KB664301";533369;541351;-1
"451";"ASTE004139";"KB664301";777340;779716;1
"452";"ASTE004131";"KB664301";621190;623891;-1
"453";"ASTE004100";"KB664301";24042;25143;-1
"454";"ASTE004106";"KB664301";167368;173461;1
"455";"ASTE004104";"KB664301";155229;159272;-1
"456";"ASTE015874";"KB664633";585136;586497;1
"457";"ASTE004112";"KB664301";229678;231128;1
"458";"ASTE004109";"KB664301";193428;196103;-1
"459";"ASTE004116";"KB664301";378008;380614;1
"460";"ASTE004121";"KB664301";446292;455995;-1
"461";"ASTE004124";"KB664301";467452;479036;-1
"462";"ASTE004122";"KB664301";457016;458031;1
"463";"ASTE004123";"KB664301";459216;463176;1
"464";"ASTE004119";"KB664301";442398;443664;1
"465";"ASTE004138";"KB664301";775286;775764;-1
"466";"ASTE004134";"KB664301";763583;763862;-1
"467";"ASTE004135";"KB664301";764520;767994;-1
"468";"ASTE004133";"KB664301";760752;762807;1
"469";"ASTE004137";"KB664301";773203;775349;1
"470";"ASTE004129";"KB664301";592342;594817;-1
"471";"ASTE004101";"KB664301";68262;68740;-1
"472";"ASTE004102";"KB664301";148441;153103;1
"473";"ASTE004105";"KB664301";162578;165696;-1
"474";"ASTE004111";"KB664301";209083;224409;-1
"475";"ASTE004117";"KB664301";437272;440052;1
"476";"ASTE004125";"KB664301";515355;520666;-1
"477";"ASTE004136";"KB664301";770669;772740;-1
"478";"ASTE004130";"KB664301";599896;610782;-1
"479";"ASTE004132";"KB664301";680273;694456;-1
"480";"ASTE014457";"KB664301";179463;181552;-1
"481";"ASTE014458";"KB664301";514652;515072;1
"482";"ASTE014460";"KB664301";740713;741092;1
"483";"ASTE014459";"KB664301";717458;718440;-1
"484";"ASTE011019";"KB664312";66633;74005;1
"485";"ASTE011021";"KB664312";83651;86313;1
"486";"ASTE011023";"KB664312";87089;90484;1
"487";"ASTE011017";"KB664312";27243;33989;-1
"488";"ASTE011020";"KB664312";79243;82368;-1
"489";"ASTE011022";"KB664312";86204;86774;-1
"490";"ASTE011024";"KB664312";90935;91787;-1
"491";"ASTE011025";"KB664312";92443;97395;1
"492";"ASTE011027";"KB664312";101689;106749;1
"493";"ASTE011038";"KB664312";301182;303775;1
"494";"ASTE011037";"KB664312";293177;294801;-1
"495";"ASTE011040";"KB664312";351226;352192;-1
"496";"ASTE011049";"KB664312";487413;489521;1
"497";"ASTE011047";"KB664312";470339;480536;-1
"498";"ASTE011042";"KB664312";393923;397878;1
"499";"ASTE011048";"KB664312";480928;486689;1
"500";"ASTE011016";"KB664312";22127;27116;1
"501";"ASTE011030";"KB664312";137857;144310;1
"502";"ASTE011035";"KB664312";271246;272089;1
"503";"ASTE011036";"KB664312";281018;284460;1
"504";"ASTE011039";"KB664312";306357;309853;1
"505";"ASTE011046";"KB664312";448109;454321;-1
"506";"ASTE011050";"KB664312";491327;492772;1
"507";"ASTE011043";"KB664312";401038;403480;-1
"508";"ASTE011044";"KB664312";425181;429912;1
"509";"ASTE011053";"KB664312";626071;629770;-1
"510";"ASTE011018";"KB664312";39338;41719;-1
"511";"ASTE011028";"KB664312";110451;110891;1
"512";"ASTE011031";"KB664312";145470;147520;1
"513";"ASTE011032";"KB664312";204383;207001;1
"514";"ASTE011033";"KB664312";257369;258496;1
"515";"ASTE011041";"KB664312";373392;389649;1
"516";"ASTE011051";"KB664312";493796;498416;-1
"517";"ASTE011029";"KB664312";120505;123135;1
"518";"ASTE011026";"KB664312";97518;98670;-1
"519";"ASTE011034";"KB664312";263584;265685;1
"520";"ASTE011045";"KB664312";431678;434200;-1
"521";"ASTE011052";"KB664312";616996;617810;-1
"522";"ASTE015221";"KB664312";15219;15588;1
"523";"ASTE015222";"KB664312";298758;300397;1
